"Etotal in eV, Edisp in eV, Vibfreq in 1/cm"																																																																			
v1.0																																																																			
Name	Surface	Functional	Kpoints	NumC	NumH	NumO	NumN	Spin	Etotal	Edisp	NumVibFreq	VibFreq	TotEngPath	VibFreqPath																																																					
Bz-bri	Pt_5x5	PBE_D3	3*3*1	6	6	0	0	0	-714.172	-56.9571	36	3099.4195	3095.2184	3087.4275	3083.7901	3056.4921	3055.097	1427.8744	1373.044	1368.9643	1366.8926	1309.2758	1288.8686	1145.2635	1137.0936	1078.0182	1001.0801	949.8367	933.1023	924.2162	906.6314	897.183	872.3545	831.0569	830.5574	828.8073	632.7468	560.8397	545.3031	520.5902	472.7443	378.9564	374.2859	342.5521	165.3129	161.6839	152.166	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\Bz-bri\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\Bz-bri\																		
Bz-hol-fcc	Pt_5x5	PBE_D3	3*3*1	6	6	0	0	0	-713.8503	-56.9507	36	3125.4728	3116.2323	3114.2075	3106.0392	3103.468	3093.2958	1436.235	1435.0352	1373.3377	1370.7646	1339.9174	1301.7823	1151.8537	1124.9964	1122.1532	995.5893	960.2989	959.4421	901.6362	900.6076	896.1523	860.6537	859.1534	858.883	813.458	618.8669	555.9102	555.0906	477.2765	474.0985	349.5388	345.7919	309.9396	140.9916	139.2564	137.8295	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\Bz-hol-fcc\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\Bz-hol-fcc\																		
Bz-hol-hcp	Pt_5x5	PBE_D3	3*3*1	6	6	0	0	0	-713.9277	-56.9726	36	3123.1457	3118.5967	3113.3222	3104.4769	3102.619	3093.5695	1433.4699	1432.7122	1371.7615	1370.2982	1339.5179	1300.2074	1150.0248	1122.5311	1122.184	994.1893	957.5853	955.0158	902.3447	899.7591	896.2794	861.7417	857.661	856.9227	812.4582	618.1088	557.5676	556.5432	476.0722	475.3768	349.739	348.8601	314.414	144.4411	143.8956	137.251	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\Bz-hol-hcp\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\Bz-hol-hcp\																		
CH-fcc	Pt_5x5	PBE_D3	3*3*1	6	12	0	0	0	-736.2182	-56.9802	54	3018.2678	3015.208	3014.2355	2996.8684	2989.9943	2989.549	2936.6398	2933.981	2929.311	2517.1677	2483.281	2469.7924	1427.2334	1412.7151	1411.2844	1352.532	1344.6023	1342.8169	1333.1474	1328.9604	1301.0828	1298.6301	1296.7999	1256.0142	1236.3495	1232.5453	1167.0667	1159.2447	1108.0895	1101.5253	1100.8047	1034.4128	1033.0837	1003.1593	992.6768	863.6876	863.1485	855.6243	854.1439	793.8303	745.2207	740.4813	507.4473	431.4115	428.8403	368.0803	252.0917	245.7593	127.327	117.1024	111.3544	53.3908	42.1345	37.913	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\CH-fcc\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\CH-fcc\
CH-hcp	Pt_5x5	PBE_D3	3*3*1	6	12	0	0	0	-736.2198	-56.9771	54	3017.7576	3016.9343	3013.3074	2998.9543	2984.2366	2983.7105	2935.9719	2933.1188	2931.8315	2514.8798	2481.5378	2467.2037	1427.4779	1412.7718	1411.9493	1345.1459	1342.4264	1341.7257	1329.7473	1327.7377	1299.2122	1296.5792	1295.7955	1253.5739	1233.6652	1233.1616	1162.4153	1153.9445	1105.4469	1100.8784	1100.295	1032.809	1031.5932	998.0863	993.1584	863.396	862.5521	853.1348	852.8169	794.6892	742.9134	741.5108	505.1595	429.6581	428.9748	368.5142	251.6093	245.8416	129.7632	119.5127	115.3952	43.4716	41.4962	28.8915	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\CH-hcp\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\CH-hcp\
H12345Bz-hol-fcc	Pt_5x5	PBE_D3	3*3*1	6	11	0	0	0	-732.4249	-57.0017	51	3017.8476	3015.4035	3008.2626	2977.105	2933.9261	2921.4156	2915.9666	2880.6977	2873.6367	2565.4364	2553.5499	1427.015	1389.132	1379.6517	1362.1359	1358.8183	1331.4494	1329.9692	1302.1364	1293.5249	1287.4594	1247.7865	1222.765	1215.1355	1176.5022	1104	1098.7213	1093.4103	1050.0855	1033.3817	1024.6081	1010.3053	949.7096	864.426	856.5319	854.9094	808.9606	788.3364	728.98	600.0902	457.2094	445.2266	428.119	341.2148	295.5208	217.5511	189.1067	133.6633	74.8064	65.3391	44.8414	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\H12345Bz-hol-fcc\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\H12345Bz-hol-fcc\			
H12345Bz-hol-hcp	Pt_5x5	PBE_D3	3*3*1	6	11	0	0	0	-732.4061	-57.0456	51	3021.7732	3013.69	3005.2566	2982.6881	2940.7477	2931.1225	2926.049	2884.3161	2879.6435	2561.0161	2538.4591	1423.0307	1391.0679	1381.7336	1357.4275	1356.1184	1329.8835	1329.4268	1302.7741	1292.8455	1283.3465	1243.4396	1223.4803	1216.3814	1173.6873	1103.864	1097.2512	1094.209	1048.7737	1032.353	1024.7782	1010.6335	949.2275	861.5519	854.6739	853.9726	807.4056	786.0528	726.9158	598.0365	457.5852	447.7843	428.3267	346.4268	304.3844	223.2714	204.0208	134.3387	83.7222	72.9335	47.9179	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\H12345Bz-hol-hcp\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\H12345Bz-hol-hcp\			
H1234Bz-briA-fcc	Pt_5x5	PBE_D3	3*3*1	6	10	0	0	0	-728.3961	-56.9945	48	3046.2188	3028.6475	3027.3109	3011.5359	3009.8425	2992.2438	2911.5488	2909.3717	2759.3311	2685.2715	1448.9027	1414.9992	1401.4108	1395.7548	1389.5348	1346.1211	1337.8368	1315.9142	1295.7256	1267.2458	1226.8408	1212.052	1188.2429	1154.2062	1114.7955	1082.1418	1070.1319	991.543	986.7171	926.3643	923.2863	887.0931	856.0318	822.8481	795.2159	698.8834	657.9062	494.4961	493.2912	442.3598	316.0306	214.6778	194.5787	162.8407	155.4474	81.6958	81.0281	46.3944	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\H1234Bz-briA-fcc\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\H1234Bz-briA-fcc\						
H1234Bz-briB	Pt_5x5	PBE_D3	3*3*1	6	10	0	0	0	-728.4651	-56.9941	48	3057.9234	3040.6955	3025.1334	3019.9413	3006.2801	2955.2319	2935.3114	2875.6662	2626.3739	2579.6955	1444.35	1433.3417	1386.3243	1378.4125	1358.1932	1352.4246	1330.5724	1314.8585	1300.6784	1279.4258	1233.6585	1196.2935	1185.2315	1138.7724	1094.9952	1065.688	1061.8542	1012.4832	980.6632	939.0675	892.2972	866.5713	854.5422	811.7577	792.9061	760.7911	645.4183	497.8713	446.481	405.452	331.1601	310.4266	191.2979	179.9598	129.1548	87.6819	79.1956	53.7292	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\H1234Bz-briB\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\H1234Bz-briB\						
H1234Bz-hol-fcc	Pt_5x5	PBE_D3	3*3*1	6	10	0	0	0	-728.5703	-56.9615	48	3014.249	3008.6409	2995.8233	2993.4696	2990.3534	2975.1932	2936.8202	2907.2108	2900.4244	2701.0084	1442.5165	1413.6196	1402.9729	1396.4378	1335.6045	1329.8099	1309.1725	1305.3707	1282.4362	1262.0509	1232.1786	1205.0704	1152.766	1143.2859	1111.6682	1077.5173	1064.378	1011.3653	991.9184	969.3164	929.9799	867.7616	855.5007	842.5222	774.8503	726.2352	650.965	525.3889	493.7879	459.828	382.4079	270.5712	225.747	172.8126	139.6968	118.4242	82.1982	30.0627	C:\Users\Gu\Desktop\Checking\11-20\TotalEnergies\H1234Bz-hol-fcc\	C:\Users\Gu\Desktop\Checking\11-20\VibrationalFrequencies\H1234Bz-hol-fcc\						
